Geneid,PC3_Normoxia_S2,PC3_Normoxia_S1,LNCAP_Hypoxia_S1,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2
ENSG00000010818,1146,407,2958,1789,1910,3419,1950,623
ENSG00000010932,4,2,27,33,48,34,4,3
ENSG00000011007,799,293,3026,2612,3118,3600,714,246
ENSG00000011009,320,142,978,749,1130,1121,234,88
ENSG00000011021,220,66,993,737,847,1272,181,64
ENSG00000011028,275,101,9,13,13,4,332,120
ENSG00000011052,0,0,0,0,0,0,0,0
ENSG00000011083,0,0,0,0,0,0,0,1
ENSG00000011105,538,218,756,862,1359,862,360,145
ENSG00000011114,477,177,2691,2260,2346,3086,506,170
ENSG00000011132,273,97,371,294,470,414,176,69
ENSG00000011143,403,159,702,666,799,843,241,105
ENSG00000011198,1338,457,1563,1601,1727,1738,1800,640
ENSG00000011201,3697,1302,3,5,3,1,4326,1489
ENSG00000011243,587,212,3651,2187,2746,4010,634,191
ENSG00000011258,1507,551,1979,1871,1998,2198,1711,582
ENSG00000011260,326,116,1125,1292,1518,1293,269,89
ENSG00000011275,1236,462,1488,1138,1445,1801,1140,391
ENSG00000011295,774,246,4800,3431,3677,5519,615,246
ENSG00000011304,2542,903,6626,7621,9062,8023,2878,970
ENSG00000011332,88,31,250,216,278,238,51,22
ENSG00000011347,151,37,3978,2783,3727,3956,115,46
ENSG00000011376,1010,380,2282,3405,4228,2615,690,226
ENSG00000011405,1880,690,6029,4510,4390,6639,2091,574
ENSG00000011422,1723,692,69,38,52,85,2205,963
ENSG00000011426,10092,3488,4575,6302,6096,5394,10629,3369
ENSG00000011451,702,287,5098,2374,3355,5646,654,236
ENSG00000011454,426,148,5564,5573,6126,6430,427,129
ENSG00000011465,0,0,2,0,0,0,0,0
ENSG00000011478,182,73,132,112,183,146,132,54
ENSG00000011485,767,301,1521,1779,2223,1746,494,179
ENSG00000011523,681,226,577,750,878,566,404,164
ENSG00000011566,786,245,1515,1236,1271,1620,850,290
ENSG00000011590,17,4,48,81,122,49,2,1
ENSG00000011600,0,0,0,0,0,0,0,0
ENSG00000011638,210,89,570,437,515,639,226,76
ENSG00000011677,181,64,179,181,236,218,255,69
ENSG00000012048,914,329,2071,3458,3562,2480,674,255
ENSG00000012061,786,340,465,529,775,575,801,333
ENSG00000012124,0,2,14,7,3,20,0,0
ENSG00000012171,244,88,488,243,532,531,299,121
ENSG00000012174,3393,1260,1878,2266,2283,2283,2872,1112
ENSG00000012211,138,63,521,431,673,647,116,37
ENSG00000012223,0,0,21,106,257,28,0,0
ENSG00000012232,1583,581,1241,868,1175,1424,1436,501
ENSG00000012504,0,0,2,0,1,4,0,0
ENSG00000012660,7246,2869,164582,86541,96501,203158,6637,2244
ENSG00000012779,35,20,16,7,11,14,59,23
ENSG00000012817,0,0,1947,2081,2512,2354,0,0
ENSG00000012822,824,252,3069,1653,1918,3084,1147,388
ENSG00000012963,539,202,1800,1877,2189,2044,522,163
ENSG00000012983,2927,1040,3468,2256,2312,3720,4195,1358
ENSG00000013016,362,160,570,710,1184,694,293,87
ENSG00000013275,1643,596,3446,3141,4393,3977,1629,540
ENSG00000013288,158,58,1876,1893,2241,2255,152,51
ENSG00000013293,0,2,0,0,0,2,3,1
ENSG00000013297,409,125,9,7,4,11,237,108
ENSG00000013306,6235,2524,3055,3042,5457,3535,4739,1717
ENSG00000013364,570,209,221,299,475,258,469,173
ENSG00000013374,1185,418,3345,4411,5124,3879,986,317
ENSG00000013375,1367,460,1950,2566,2750,2506,1702,591
ENSG00000013392,81,24,1585,1857,2144,2086,105,31
ENSG00000013441,1232,540,11472,4611,5038,11641,2643,829
ENSG00000013503,898,328,1353,2623,2760,1763,686,219
ENSG00000013523,264,94,1246,1108,1528,1348,125,56
ENSG00000013561,674,234,2437,2363,2954,2805,621,202
ENSG00000013563,91,41,438,268,415,482,71,33
ENSG00000013573,338,136,1144,971,1193,1220,257,85
ENSG00000013583,404,165,1337,2122,2145,1659,386,124
ENSG00000013588,5767,2116,3,9,5,4,11759,4153
ENSG00000013619,217,69,108,58,70,93,190,73
ENSG00000013725,14,6,0,0,0,0,10,3
ENSG00000013810,852,370,3979,3701,4465,4622,686,205
ENSG00000014123,973,346,3447,4946,5166,3761,739,289
ENSG00000014138,380,160,186,167,217,229,263,121
ENSG00000014164,314,96,232,207,332,286,240,110
ENSG00000014216,2502,961,3914,2800,4111,4494,3392,1182
ENSG00000014257,40,20,316,1202,1378,408,58,25
ENSG00000014641,1674,637,2564,2927,3608,3076,1794,656
ENSG00000014824,1442,545,9357,10440,12505,10138,2078,739
ENSG00000014914,620,241,211,195,187,295,855,375
ENSG00000014919,506,167,725,1020,1273,973,589,231
ENSG00000015133,185,53,4706,3156,3934,5266,126,50
ENSG00000015153,417,146,655,614,587,714,419,119
ENSG00000015171,1777,614,6173,7425,7847,7226,1573,516
ENSG00000015285,8,1,101,72,92,79,4,2
ENSG00000015413,0,0,2,0,1,0,0,0
ENSG00000015475,346,147,320,306,476,302,393,121
ENSG00000015479,101,30,283,243,251,243,77,14
ENSG00000015520,2,0,51,35,46,41,1,2
ENSG00000015532,1125,426,818,829,1210,913,733,291
ENSG00000015568,0,1,107,9,7,21,8,4
ENSG00000015592,0,0,68,20,147,76,0,0
ENSG00000015676,1083,426,1861,2090,3244,2112,746,289
ENSG00000016082,22,4,6,25,20,9,7,1
ENSG00000016391,109,39,1295,1117,1331,1488,41,19
ENSG00000016402,83,28,21,16,33,16,54,17
ENSG00000016490,0,0,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,1,0,0,1
ENSG00000016864,936,400,1550,1466,2067,1712,860,351
ENSG00000017260,2712,1006,6353,5712,6190,7394,3044,1058
ENSG00000017427,0,0,269,80,91,308,0,1
ENSG00000017483,8,1,9,13,6,5,28,13
ENSG00000017797,318,95,3819,3264,4049,4579,239,82
ENSG00000018189,263,80,782,1004,1114,905,160,49
ENSG00000018236,779,264,0,0,0,0,866,308
ENSG00000018280,6,4,46,38,90,51,20,14
ENSG00000018408,2611,841,134,174,198,189,2474,782
ENSG00000018510,2533,903,1880,1761,1696,2127,2596,798
ENSG00000018607,0,0,0,0,0,0,0,0
ENSG00000018610,185,79,529,682,877,592,110,50
ENSG00000018625,24,11,30,7,5,22,30,17
ENSG00000018699,924,356,388,873,1010,512,639,236
ENSG00000018869,0,0,182,165,182,206,0,0
ENSG00000019102,23,14,5,3,14,2,27,12
ENSG00000019144,576,229,1196,670,929,1288,332,130
ENSG00000019169,52,30,1,2,2,3,36,14
ENSG00000019186,242,102,0,1,0,0,182,70
ENSG00000019485,216,82,49,61,67,48,168,52
ENSG00000019505,33,12,14,21,15,18,28,8
ENSG00000019549,604,213,785,455,501,990,726,224
ENSG00000019582,6,3,5,7,12,8,7,1
ENSG00000019991,49,16,0,0,0,0,69,16
ENSG00000019995,688,241,1701,1254,1505,1821,1143,312
ENSG00000020129,336,150,882,1216,1599,1203,299,116
ENSG00000020181,110,40,4,17,12,6,33,18
ENSG00000020219,0,0,0,0,0,1,1,0
ENSG00000020256,947,334,1413,1308,1695,1497,698,282
ENSG00000020426,2180,841,1115,1169,1249,1150,2183,698
ENSG00000020577,2086,838,165,69,107,138,5473,1742
ENSG00000020633,5,1,0,3,5,0,3,1
ENSG00000020922,506,215,1308,2002,1909,1602,328,132
ENSG00000021300,363,150,10752,8874,12459,11652,312,112
ENSG00000021355,507,168,0,4,1,0,719,238
ENSG00000021461,0,0,22,45,48,32,0,0
ENSG00000021488,2,0,17,6,10,14,1,1
ENSG00000021574,987,395,922,1026,1110,1149,1008,350
ENSG00000021645,210,78,78,83,95,53,222,63
ENSG00000021762,107,43,1370,2533,3490,1552,59,20
ENSG00000021776,2440,886,2901,3563,3750,3526,2435,788
ENSG00000021826,626,235,2021,2600,2658,2227,491,162
ENSG00000021852,1,0,0,0,0,0,0,0
ENSG00000022267,1087,406,6,1,2,6,1464,450
ENSG00000022277,1202,465,1864,2076,2508,2164,1149,381
ENSG00000022355,3,3,0,1,0,0,1,1
ENSG00000022556,0,0,1194,1663,2235,1457,0,0
ENSG00000022567,87,43,335,381,533,365,32,12
ENSG00000022840,1190,464,3566,3293,4445,4195,1410,503
ENSG00000022976,136,42,490,699,785,594,54,27
ENSG00000023041,1490,498,3069,2530,2786,3058,1446,494
ENSG00000023171,3116,1155,16,11,6,8,3613,1034
ENSG00000023191,1005,409,1035,1177,1981,1115,910,332
ENSG00000023228,2459,870,6190,7792,8709,7264,2294,745
ENSG00000023287,1115,384,4530,3988,4104,4699,1469,436
ENSG00000023318,1690,605,3643,6158,6643,4558,2111,803
ENSG00000023330,400,128,4356,3079,3627,5184,356,115
ENSG00000023445,475,165,587,1277,1306,736,627,169
ENSG00000023516,741,270,4882,4297,4639,5641,639,228
ENSG00000023572,159,65,1205,1260,1324,1539,153,39
ENSG00000023608,2006,769,1015,735,697,1159,2382,699
ENSG00000023697,661,269,760,995,1215,850,655,265
ENSG00000023734,1921,725,13550,16438,19394,15225,1696,505
ENSG00000023839,27,7,18,16,12,20,22,4
ENSG00000023892,718,254,614,813,1183,693,377,161
ENSG00000023902,463,185,150,47,120,132,436,140
ENSG00000023909,1397,553,1570,2129,2097,1924,1865,532
ENSG00000024048,2188,806,1760,1816,1850,2258,2003,603
ENSG00000024422,18,5,3,1,0,3,20,6
ENSG00000024526,3497,1278,733,1123,995,886,3482,1158
ENSG00000024862,299,113,304,405,505,310,296,117
ENSG00000025039,805,306,1264,742,962,1409,1058,350
ENSG00000025156,415,146,1347,991,1051,1419,430,124
ENSG00000025293,1291,483,2981,2998,3303,3470,1220,409
ENSG00000025423,23,8,111,88,127,117,13,4
ENSG00000025434,155,83,381,582,907,408,78,33
ENSG00000025708,114,43,214,279,542,208,72,31
ENSG00000025770,292,138,347,425,571,363,218,85
ENSG00000025772,6216,2103,2705,2731,4008,3204,5094,1955
ENSG00000025796,2577,813,14642,14957,16304,16433,2928,851
ENSG00000025800,2238,784,3697,3925,5352,4144,1630,515
ENSG00000026025,4647,1690,1762,1628,1983,2126,13549,4789
ENSG00000026036,53,24,45,24,37,59,16,1
ENSG00000026103,446,185,420,713,822,451,338,116
ENSG00000026297,104,47,639,700,850,649,96,50
ENSG00000026508,17894,5978,19,12,14,9,19797,6330
ENSG00000026559,475,177,161,240,374,168,291,122
ENSG00000026652,299,123,15,11,7,13,365,136
ENSG00000026751,12,5,0,1,6,0,30,7
ENSG00000026950,961,383,620,1031,1052,617,349,106
ENSG00000027001,926,339,1251,1212,1687,1505,843,277
ENSG00000027075,482,158,718,545,625,762,336,101
ENSG00000027644,2,4,1,0,3,0,3,0
ENSG00000027697,708,231,1050,1094,1199,1282,902,294
ENSG00000027847,321,109,595,554,862,732,237,92
ENSG00000027869,307,113,6,9,9,9,317,127
ENSG00000028116,418,144,689,965,1057,825,322,112
ENSG00000028137,5,5,3,9,24,8,3,1
ENSG00000028203,1278,473,4779,5599,6749,5004,1377,495
ENSG00000028277,214,62,30,16,12,36,180,72
ENSG00000028310,463,183,1103,1164,1494,1204,322,106
ENSG00000028528,1194,488,3493,4033,4959,3949,1105,416
ENSG00000028839,470,175,1258,753,969,1313,396,157
ENSG00000029153,4791,1734,714,322,431,738,5583,1873
ENSG00000029363,3406,1215,12501,10770,11138,14589,3790,1163
ENSG00000029364,5920,2196,3258,3304,4112,3920,6315,2217
ENSG00000029534,56,25,367,257,277,328,22,6
ENSG00000029559,0,0,59,4,7,115,0,0
ENSG00000029639,260,95,311,309,347,308,233,71
ENSG00000029725,651,189,3977,4081,4401,4517,542,148
ENSG00000029993,1167,445,2605,2412,3144,2829,1097,400
ENSG00000030066,2114,865,2325,2837,2635,2894,1812,596
ENSG00000030110,260,96,201,213,323,267,210,81
ENSG00000030304,8,1,9,9,4,9,1,4
ENSG00000030419,220,88,200,248,225,212,444,145
ENSG00000030582,3128,1079,1714,1441,2211,1935,5706,2345
ENSG00000031003,596,201,2155,2261,2439,2915,1086,323
ENSG00000031081,1105,397,80,48,48,59,928,282
ENSG00000031691,509,187,409,453,413,545,505,198
ENSG00000031698,3129,1088,8015,10355,16169,8639,2681,893
ENSG00000031823,1863,690,2628,2324,3047,3245,1483,500
ENSG00000032219,1055,394,1813,1412,1490,1904,1465,398
ENSG00000032389,182,87,363,510,761,446,158,41
