"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000129152",133.725233200993,6.2606019382812,0.46571679299384,13.4429379237867,3.38716888402544e-41,5.57995750204096e-39
"ENSG00000125266",1569.51275333948,1.70245458950961,0.126778993928805,13.4285226341649,4.11539868367106e-41,6.69986905701648e-39
"ENSG00000168874",121.081201402246,5.39174860498275,0.402803576294983,13.3855529649872,7.34486916720374e-41,1.18184069227634e-38
"ENSG00000164683",200.481995175069,3.17573977060701,0.23891706423988,13.2922266591158,2.56820259692789e-40,4.08491810761933e-38
"ENSG00000117318",1093.00628463659,1.71916427285716,0.129565165044039,13.268722903049,3.51520410652699e-40,5.52765845751369e-38
"ENSG00000130821",3350.31884189014,1.59562491672104,0.120375051886311,13.2554453079533,4.19618705797447e-40,6.52436365261244e-38
"ENSG00000144445",1629.18869851068,1.81468191713542,0.136979369428811,13.247848378208,4.64325222338489e-40,7.13925825191112e-38
"ENSG00000117394",1461.22374905437,2.07079929391021,0.156556739142062,13.2271488615455,6.11638477568521e-40,9.3009376402123e-38
"ENSG00000265817",985.957288375117,1.97102139935154,0.149873127536247,13.1512662193217,1.67348303401654e-39,2.51713676355662e-37
"ENSG00000135111",12325.7068563236,1.44435349335896,0.110141853663678,13.11357531506,2.7530726810781e-39,4.096453737716e-37
"ENSG00000047648",3482.33873698304,1.58207137585861,0.12150873294416,13.0202277443355,9.38904570266042e-39,1.38218738758952e-36
"ENSG00000072042",12605.7505171475,-1.29314329972048,0.0997433458962642,-12.9647074509149,1.93969018260018e-38,2.82541397334961e-36
"ENSG00000183111",1880.22765906017,1.60814912726363,0.124321484811118,12.9354079844437,2.84110860315763e-38,4.09533967192659e-36
"ENSG00000091879",361.530494952879,2.60780118749948,0.20185250048737,12.9193405144993,3.50129528393336e-38,4.99494063289379e-36
"ENSG00000142192",13298.8897335327,1.27238753448758,0.0987723766985917,12.8820179995296,5.68299326658094e-38,8.02461845132113e-36
"ENSG00000167371",345.134580203482,2.41199745204858,0.187305140862516,12.877369200555,6.03580900669991e-38,8.43671970047609e-36
"ENSG00000136383",705.349693425396,1.85465990926682,0.144388963288748,12.8448869430407,9.18860688312526e-38,1.27151942048687e-35
"ENSG00000101236",594.894000418803,1.9474521938418,0.151801358914642,12.8289509907276,1.12882193834299e-37,1.54659782007824e-35
"ENSG00000105220",11140.0309412347,1.41727741599877,0.110663590028025,12.8070796875454,1.49661723612104e-37,2.03041071700421e-35
"ENSG00000176387",1978.56276417284,1.55937408653643,0.122279715070373,12.7525165203321,3.01841659506714e-37,4.05522804296495e-35
"ENSG00000137942",6467.27931659133,1.47412998333697,0.115966917830735,12.7116423451782,5.09529480192114e-37,6.77968167971007e-35
"ENSG00000134243",940.974190023216,1.68781677194015,0.132862612495578,12.7034742147368,5.65618463327072e-37,7.45431266240003e-35
"ENSG00000188257",549.110597252346,2.47840597930135,0.19550194948784,12.6771420223382,7.91661082545713e-37,1.03349113776109e-34
"ENSG00000170017",4419.61959080108,1.35037589775048,0.106570582294189,12.6711881335392,8.54108328981088e-37,1.10459355667666e-34
"ENSG00000136048",613.248055058551,1.96583015023413,0.155655353721067,12.6293770386907,1.45424956125903e-36,1.86332457673171e-34
"ENSG00000198938",162912.125441566,-1.21550070358717,0.0963223136554265,-12.6190978752377,1.65708648558859e-36,2.1037397052821e-34
"ENSG00000171617",2329.09204035866,1.76274665833561,0.140224649055179,12.5708758781915,3.05322437802253e-36,3.84095626755234e-34
"ENSG00000064393",10805.4270365109,1.28157904835844,0.102239538196733,12.5350629605972,4.79980119006555e-36,5.98375215028172e-34
"ENSG00000184349",5769.767731019,1.31195910203203,0.104941061217175,12.5018661600623,7.29191708452841e-36,9.00942398354501e-34
"ENSG00000179094",791.676954415106,1.79281028437588,0.143465784802078,12.4964310260401,7.807856556604e-36,9.5615149584324e-34
"ENSG00000109205",265.000068609419,2.99715072660217,0.241240895543939,12.4238915621845,1.93895242997248e-35,2.34212040219108e-33
"ENSG00000131398",1000.21985767952,1.82370513749442,0.146793794979857,12.423584646372,1.94640732946939e-35,2.34212040219108e-33
"ENSG00000157483",873.901166746973,1.81317338382115,0.14660178901554,12.3680167615755,3.89315535350033e-35,4.64426584325324e-33
"ENSG00000078043",2587.32410152839,1.55601980025947,0.126944513025537,12.2574797694994,1.5319046496859e-34,1.81183731131227e-32
"ENSG00000140443",1482.71580500256,1.52376836056373,0.124522947440645,12.2368478411584,1.97557069677931e-34,2.31677519508747e-32
"ENSG00000111859",601.924195559749,1.86914831508173,0.153794400966856,12.1535524266878,5.49260621842012e-34,6.3871163739914e-32
"ENSG00000125968",898.443278631718,2.12701769636447,0.17621309172138,12.0707132233263,1.50821430849033e-33,1.73922246674076e-31
"ENSG00000171314",5850.20485300389,1.32255059080307,0.110229371236676,11.9981686910233,3.63244817531113e-33,4.15419982231036e-31
"ENSG00000166828",194.125257005495,3.09014113872448,0.258199552815806,11.9680344331538,5.22518178078207e-33,5.92672667889035e-31
"ENSG00000166165",19703.3033147619,1.38263176428892,0.115843963046781,11.9352940621566,7.74845780889456e-33,8.7173300129661e-31
"ENSG00000159208",451.153792597301,1.9692840642868,0.165477466845565,11.9006176600749,1.1747443682682e-32,1.31097682000769e-30
"ENSG00000134755",5117.27580535952,1.29647638949669,0.109296836022303,11.8619754851104,1.8652172517396e-32,2.06487010636581e-30
"ENSG00000173482",2168.28167654983,1.37914573711836,0.116720950767171,11.8157513972741,3.23642334542686e-32,3.55441478206484e-30
"ENSG00000156515",6156.32697075316,1.2076612598359,0.102234533450335,11.8126548738306,3.35788141955388e-32,3.65876874675485e-30
"ENSG00000164056",560.889367561818,1.81422128176333,0.154123006099589,11.7712554905076,5.49013016820221e-32,5.93534541152985e-30
"ENSG00000163399",6299.27697088139,1.25901263656895,0.107199834479966,11.7445389974389,7.53321734679149e-32,8.08098152286051e-30
"ENSG00000171345",299.345033544373,2.25726490861387,0.193228165751573,11.6818627338002,1.57799082908424e-31,1.67971054560521e-29
"ENSG00000107819",1382.05957177707,1.88764452015996,0.162377102142252,11.6250659437577,3.07355947774114e-31,3.24671114908259e-29
"ENSG00000107020",628.967933797475,-1.97816909551861,0.17042674396725,-11.6071518440717,3.79031293620548e-31,3.97351139478875e-29
"ENSG00000140465",149.537147871775,3.25122280456764,0.281047351598576,11.5682385408542,5.96956457269507e-31,6.21104019225221e-29
"ENSG00000171388",842.456554418165,1.70660816704501,0.147762035314111,11.5497066849216,7.40728000669591e-31,7.64939856213865e-29
"ENSG00000164105",645.696338344519,1.72930884890169,0.150307695841171,11.5051251316436,1.24308926428175e-30,1.27421253623192e-28
"ENSG00000141580",3012.45870004588,1.26495000166993,0.110036907628423,11.4956883915846,1.38671073633014e-30,1.41097817421592e-28
"ENSG00000114480",1369.78123218135,1.51335327416165,0.131908642688711,11.4727378230476,1.80845522698966e-30,1.82667178329073e-28
"ENSG00000065809",2040.46966631772,1.36691930928071,0.119329534598086,11.4549957299727,2.21974196348628e-30,2.22585429642921e-28
"ENSG00000189060",6953.55003102521,1.30340056192522,0.114493020898537,11.3841049148339,5.01808457135469e-30,4.99570174808678e-28
"ENSG00000167460",8847.2879359205,1.16959126380928,0.102757172200032,11.382088848577,5.13547250449802e-30,5.07604775123168e-28
"ENSG00000198785",1296.89379764503,1.62099006488836,0.143777312687959,11.2743104915753,1.75750102750287e-29,1.72484391621168e-27
"ENSG00000146205",421.750889107259,2.0422293131884,0.181221550948781,11.2692408959991,1.86167983514948e-29,1.81422010977454e-27
"ENSG00000110090",3440.49350052273,-1.28853701206779,0.114505457636406,-11.2530619820702,2.23689178289448e-29,2.16462297144712e-27
