"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000149452",0,1.43585004663657,2.19594432734675,0.438423234912724,0,0,0,0
"ENSG00000149474",694.987786329902,768.179774950566,636.274868848721,594.501906541654,897.563701031812,852.41534493235,969.967535219492,1161.24098490277
"ENSG00000149476",1063.34229235468,1085.02401857504,1167.1444099848,1398.57011937159,252.124635121295,388.758462751574,358.141859157966,362.817819776757
"ENSG00000149480",3911.91387471318,3804.04539022249,3134.16154120565,3169.36156518408,4075.59472673574,3648.62300362257,4581.23128172898,4319.09978666344
"ENSG00000149483",409.52676824811,413.524813431333,501.773278798733,578.280246849883,801.756339685719,838.148979326788,1393.76873522309,1369.52528884869
"ENSG00000149485",4902.24402205847,4697.62273591265,4008.14738348966,3661.71085799107,7457.84670688792,8078.32952414968,5795.92908737309,6170.14255237634
"ENSG00000149488",7.13652545204481,15.7943505130023,12.6266798822438,17.536929396509,6.30311587803239,7.13318280278117,38.7987014087797,29.115010228999
"ENSG00000149489",47.7598241790691,42.596884716885,41.1739561377516,44.7191699610978,51.6855501998656,60.63205382364,62.6748253526441,47.0319396006908
"ENSG00000149499",250.32735431788,256.059924983522,218.496460571002,283.659832988532,267.252113228573,313.860043322372,349.188312679017,337.06223380495
"ENSG00000149503",2183.77678832571,2105.43478505143,1691.97510422067,1622.60439241199,641.657196383697,627.720086644743,695.392109865051,706.598902096092
"ENSG00000149506",3.29378097786684,2.87170009327314,12.0776938004071,10.0837344029926,8.82436222924534,7.13318280278117,2.98451549298305,3.3594242571922
"ENSG00000149527",203.116493635122,195.275606342574,142.736381277539,118.374273426435,22.6912171609166,17.8329570069529,23.8761239438644,11.1980808573073
"ENSG00000149532",3719.77665100428,3778.20008938303,2965.62281408179,3124.20397198807,2871.69959403156,2767.6749274791,2121.99051551095,2521.80780906561
"ENSG00000149534",0,0.478616682212191,0.548986081836688,0.438423234912724,0,0,0,1.11980808573073
"ENSG00000149541",233.309485932234,230.693240826276,307.981191910382,583.102902433923,175.2266214093,206.862301280654,316.358642256203,248.597395032223
"ENSG00000149547",5153.12033987266,5281.05647152931,5408.61087825505,5400.05898442002,3421.33129859598,3580.85776699615,2832.30520284092,3044.75818510186
"ENSG00000149548",303.027849963749,345.561244557202,551.182026164034,444.561160201502,722.337079622512,727.58464588368,755.082419724712,675.244275695632
"ENSG00000149554",781.175055250751,845.715677468941,921.747631403799,783.462320789037,1166.07643743599,1002.21218379075,1002.79720564231,1120.92789381646
"ENSG00000149557",28.5461018081792,26.3239175216705,19.2145128642841,31.5664729137161,118.498578507009,164.063204463967,176.086414086,148.934475402187
"ENSG00000149564",24.1543938376901,27.7597675683071,15.9205963732639,18.4137758663344,79.4192600632081,103.431150640327,86.5509492965085,79.506374086882
"ENSG00000149571",1.64689048893342,1.91446672884876,0.548986081836688,1.7536929396509,119.759201682615,114.130924844499,104.458042254407,131.017546030496
"ENSG00000149573",1079.81119724401,1020.8893831586,860.26119023809,809.329291648888,554.67419726685,499.322796194682,334.265735214102,339.301849976412
"ENSG00000149575",0,0,0,0,0,0,8.95354647894916,7.83865660011513
"ENSG00000149577",559.393802741051,551.366417908444,632.431966275864,710.684063793525,197.917838570217,203.295709879263,205.931569015831,194.846606917147
"ENSG00000149582",697.183640315147,746.163407568805,624.746161130151,801.437673420459,234.475910662805,213.995484083435,304.420580284271,267.634132489645
"ENSG00000149591",63.6797655720922,82.800686022709,80.1519679481564,74.531949935163,15.1274781072777,17.8329570069529,38.7987014087797,21.2763536288839
"ENSG00000149596",13.1751239114673,12.444033737517,1.64695824551006,0,54.2067965510785,71.3318280278117,86.5509492965085,92.9440711156508
"ENSG00000149599",19.2137223708899,11.0081836908804,4.94087473653019,7.01477175860358,6.30311587803239,0,8.95354647894916,12.3178889430381
"ENSG00000149600",486.930621227981,474.787748754493,546.790137509341,663.772777657864,907.648686436664,888.081258946256,1029.65784507915,1075.0157623015
"ENSG00000149609",15.919941393023,21.0591340173364,25.2533597644876,29.3743567391525,40.3399416194073,46.3656882180776,80.5819183105424,48.1517476864215
"ENSG00000149633",0,0.478616682212191,0.548986081836688,0.438423234912724,294.985823091916,345.959365934887,146.24125915617,136.616586459149
"ENSG00000149634",4.39170797048911,12.444033737517,12.0776938004071,5.26107881895269,16.3881012828842,7.13318280278117,20.8916084508814,12.3178889430381
"ENSG00000149636",564.883437704162,593.963302625329,722.465683697081,550.221159815468,1733.35686645891,1658.46500164662,1525.08741691434,1559.89266342291
"ENSG00000149639",3455.17624578231,3353.66709226082,4019.67609120823,4214.56255721601,2966.24633220204,2781.94129308466,3387.42508453576,3660.65263225376
"ENSG00000149646",0,1.43585004663657,0.548986081836688,2.19211617456362,7.56373905363886,10.6997742041718,5.9690309859661,4.47923234292293
"ENSG00000149651",0,0,0,0,1.26062317560648,3.56659140139059,0,0
"ENSG00000149654",0.548963496311139,0.478616682212191,0,0,15.1274781072777,10.6997742041718,0,12.3178889430381
"ENSG00000149657",1749.5466627436,1747.90812343892,1493.79112867763,1456.00356314516,1152.20958250432,1162.70879685333,1050.54945353003,919.362438384931
"ENSG00000149658",1556.86047553839,1569.38410097377,1595.90253989925,1486.69318958905,2773.37098633425,2642.84422843042,3990.29721411834,3857.73885534237
"ENSG00000149679",703.771202270881,658.097938041762,357.389939275684,350.300164695266,1043.79598940216,998.645592389364,787.912090147526,817.459902583435
